vendor_id,user_id,shop_name,shop_description,address,joined_at
1,1,Digital Hub,Trusted seller of original branded products in Pakistan.,"Shop 16, Block 4, Quetta",2/23/2025 0:00
2,2,Gadget World,Affordable prices with fast delivery across all cities.,"Shop 198, Block 10, Quetta",3/31/2025 0:00
3,3,Fashion Point,Specializing in quality electronics and accessories.,"Shop 196, Block 10, Karachi",5/3/2025 0:00
4,4,Prime Electronics,"Fashion for everyone — men, women, and kids.","Shop 91, Block 5, Karachi",4/10/2025 0:00
5,5,Style Zone,Your one-stop shop for all home and kitchen needs.,"Shop 108, Block 9, Sukkur",5/20/2025 0:00
6,6,Tech Palace,Genuine products with full warranty support.,"Shop 155, Block 15, Hyderabad",9/7/2025 0:00
7,7,Smart Store,Fresh arrivals daily — latest trends at best prices.,"Shop 70, Block 7, Rawalpindi",1/8/2025 0:00
8,8,Quality Mart,Family-owned business serving customers since 2018.,"Shop 87, Block 11, Quetta",4/14/2025 0:00
9,9,Super Shop,We believe in quality over quantity every time.,"Shop 43, Block 14, Abbottabad",2/2/2025 0:00
10,10,City Electronics,Best deals on top brands — shop with confidence.,"Shop 137, Block 1, Gujranwala",2/20/2025 0:00
11,11,Home Essentials,Trusted seller of original branded products in Pakistan.,"Shop 145, Block 11, Gujranwala",2/12/2025 0:00
12,12,Sports Corner,Affordable prices with fast delivery across all cities.,"Shop 110, Block 3, Kohat",3/1/2025 0:00
13,13,Book World,Specializing in quality electronics and accessories.,"Shop 13, Block 5, Islamabad",3/25/2025 0:00
14,14,Clothing House,"Fashion for everyone — men, women, and kids.","Shop 117, Block 6, Rawalpindi",7/14/2025 0:00
15,15,Beauty Plus,Your one-stop shop for all home and kitchen needs.,"Shop 98, Block 5, Larkana",4/18/2025 0:00
16,16,Auto Parts Hub,Genuine products with full warranty support.,"Shop 21, Block 8, Faisalabad",10/4/2025 0:00
17,17,Kids Kingdom,Fresh arrivals daily — latest trends at best prices.,"Shop 90, Block 4, Karachi",1/18/2025 0:00
18,18,Furniture Direct,Family-owned business serving customers since 2018.,"Shop 167, Block 1, Hyderabad",1/8/2025 0:00
19,19,Kitchen World,We believe in quality over quantity every time.,"Shop 52, Block 14, Rawalpindi",11/15/2025 0:00
20,20,Shoe Gallery,Best deals on top brands — shop with confidence.,"Shop 62, Block 3, Islamabad",6/21/2025 0:00
